orig	resp	ts	uid	socket.orig_h	socket.orig_p	socket.resp_h	socket.resp_p	services	state
10.10.12.101	10.10.12.1	1602536538.381791	CrI5Tg1O1FsAeF5qZ8	10.10.12.101	59600	10.10.12.1	53	DNS, 	TIMEOUT
10.10.12.101	10.10.12.1	1602536538.381791	CrI5Tg1O1FsAeF5qZ8	10.10.12.101	59600	10.10.12.1	53	DNS, 	REMOVED
10.10.12.101	10.10.12.1	1602536547.618156	CyeWwV2Lgnp17Fm8zc	10.10.12.101	57840	10.10.12.1	53	DNS, 	TIMEOUT
10.10.12.101	10.10.12.1	1602536547.618156	CyeWwV2Lgnp17Fm8zc	10.10.12.101	57840	10.10.12.1	53	DNS, 	REMOVED
10.10.12.101	10.10.12.1	1602536548.290458	CSQFgc4Nx7letPlV61	10.10.12.101	65393	10.10.12.1	53	DNS, 	TIMEOUT
10.10.12.101	10.10.12.1	1602536548.290458	CSQFgc4Nx7letPlV61	10.10.12.101	65393	10.10.12.1	53	DNS, 	REMOVED
10.10.12.101	45.14.112.133	1602536538.461329	COsLMr1OMxQyXZK7H2	10.10.12.101	49979	45.14.112.133	80	HTTP, 	TIMEOUT
10.10.12.101	45.14.112.133	1602536538.461329	COsLMr1OMxQyXZK7H2	10.10.12.101	49979	45.14.112.133	80	HTTP, 	REMOVED
10.10.12.101	168.62.58.130	1602536567.167358	C1bdcY13T1KTIrSZ3b	10.10.12.101	49982	168.62.58.130	443	SSL, 	TIMEOUT
10.10.12.101	168.62.58.130	1602536567.167358	C1bdcY13T1KTIrSZ3b	10.10.12.101	49982	168.62.58.130	443	SSL, 	REMOVED
10.10.12.101	168.62.58.130	1602536547.662695	CdtIhh2p0A8Mh19oPe	10.10.12.101	49980	168.62.58.130	443	SSL, 	TIMEOUT
10.10.12.101	168.62.58.130	1602536547.662695	CdtIhh2p0A8Mh19oPe	10.10.12.101	49980	168.62.58.130	443	SSL, 	REMOVED
10.10.12.101	162.159.137.232	1602536572.537022	C1Pve0358Gx3UQa33d	10.10.12.101	49983	162.159.137.232	443		TIMEOUT
10.10.12.101	162.159.137.232	1602536572.537022	C1Pve0358Gx3UQa33d	10.10.12.101	49983	162.159.137.232	443		REMOVED
10.10.12.101	45.14.112.133	1602536572.923431	CHmRa711IcG4GDOgS4	10.10.12.101	49984	45.14.112.133	80	HTTP, 	TIMEOUT
10.10.12.101	45.14.112.133	1602536572.923431	CHmRa711IcG4GDOgS4	10.10.12.101	49984	45.14.112.133	80	HTTP, 	REMOVED
10.10.12.101	10.10.12.1	1602536572.499999	CGPNwT1vPWENzrtdl4	10.10.12.101	58868	10.10.12.1	53	DNS, 	TIMEOUT
10.10.12.101	10.10.12.1	1602536572.499999	CGPNwT1vPWENzrtdl4	10.10.12.101	58868	10.10.12.1	53	DNS, 	REMOVED
10.10.12.101	10.10.12.1	1602536572.918449	CMEDk72AttdXlAP8B6	10.10.12.101	53004	10.10.12.1	53	DNS, 	TIMEOUT
10.10.12.101	10.10.12.1	1602536572.918449	CMEDk72AttdXlAP8B6	10.10.12.101	53004	10.10.12.1	53	DNS, 	REMOVED
10.10.12.101	104.223.143.132	1602536578.412060	C0EoUg3rz444Q2ROG6	10.10.12.101	49985	104.223.143.132	80	HTTP, 	TIMEOUT
10.10.12.101	104.223.143.132	1602536578.412060	C0EoUg3rz444Q2ROG6	10.10.12.101	49985	104.223.143.132	80	HTTP, 	REMOVED
10.10.12.101	104.223.143.132	1602536578.752154	CLkqHO1op89af1Fgyj	10.10.12.101	49986	104.223.143.132	80	HTTP, 	TIMEOUT
